competition_name,competition_date,competition_location,competition_nation_host,athlete_sex,competition_age_category,competition_url,weight_class,competition_standing,athlete_name,nation,club,bodyweight_kg,competition_group,snatch_1,snatch_1_result,snatch_2,snatch_2_result,snatch_3,snatch_3_result,clean_jerk_1,clean_jerk_1_result,clean_jerk_2,clean_jerk_2_result,clean_jerk_3,clean_jerk_3_result,total_kg,sinclair
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,2,Rustamov Isa,AZE,,67.00,A,138.0,s,141.0,u,142.0,u,165.0,s,170.0,s,179.0,u,308.0,438.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,3,Hardal Ferdi,TUR,,66.95,A,137.0,s,140.0,s,142.0,u,165.0,s,169.0,u,170.0,u,305.0,434.5
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,4,Giorbelidze Gurami,GEO,,66.85,A,127.0,s,131.0,u,131.0,u,158.0,s,166.0,u,167.0,u,285.0,406.4
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,5,Pelovski Zdravko,BUL,,67.00,A,120.0,s,124.0,s,126.0,s,150.0,s,154.0,s,156.0,s,282.0,401.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,6,Minasidis Dimitris,CYP,,66.75,A,120.0,s,125.0,s,128.0,u,148.0,s,153.0,s,156.0,s,281.0,401.1
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,7,Pampordzhiev Dian Angelov,BUL,,66.80,A,120.0,s,124.0,u,126.0,u,154.0,s,158.0,s,163.0,u,278.0,396.7
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,8,Castro Victor,ESP,,66.80,A,123.0,s,127.0,s,131.0,u,147.0,s,150.0,s,153.0,u,277.0,395.2
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,9,Komorowski Marek,POL,,67.00,A,121.0,s,124.0,u,124.0,s,145.0,s,151.0,u,151.0,u,269.0,383.1
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,10,Danilov Gabriel,MDA,,67.00,A,114.0,s,120.0,s,123.0,u,138.0,s,145.0,u,145.0,u,258.0,367.4
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,1,Genc Yusuf Fehmi,TUR,,72.85,A,147.0,s,151.0,s,154.0,s,187.0,s,194.0,s,195.0,u,348.0,469.7
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,2,Sahakyan Gor,ARM,,73.00,A,150.0,s,153.0,s,156.0,u,181.0,s,185.0,s,189.0,u,338.0,455.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,3,Gutu Roberto,GER,,73.00,A,150.0,s,155.0,s,157.0,u,175.0,s,180.0,s,184.0,u,335.0,451.6
